Date,Open,High,Low,Close,Adj Close,Rendimiento,IPC,Rend-ipc,Correlacion,Volume
2019-03-22,85.199997,85.900002,82.150002,82.190002,80.604347,-0.066128768081613,42703.378906,0.010512708274547,-0.183875416005412,21659800
2019-03-25,81.480003,83.220001,80.889999,82.330002,80.741623,0.001703084326209,42826.160156,0.002875211590874,-0.183563928400994,15558300
2019-03-26,83.629997,84.089996,82.910004,83.379997,81.77137,0.012753607888214,42947.550781,0.002834497058756,-0.175386099419415,9611900
2019-03-27,83.690002,83.800003,82.040001,83.089996,81.486969,-0.003478002141825,42942.230469,-0.000123879287718,-0.175208617278883,6485100
2019-03-28,83.93,84.720001,83.699997,84.040001,82.418633,0.011433288186238,43281.28125,0.007895509322571,-0.15766181813637,6032700
2019-03-29,84.599998,84.849998,83.860001,84.209999,82.585373,0.002023086211585,43672.058594,0.009028784100517,-0.155524019940011,6492000
2019-04-01,85.040001,85.32,84.699997,85.230003,83.585686,0.012112471781171,43324.589844,-0.007956317178228,-0.168056025853965,6737400
2019-04-02,85,85.260002,84.160004,84.370003,82.742287,-0.010090232435252,43339.75,0.000349920358267,-0.167605776136619,4433800
2019-04-03,84.900002,84.989998,84.25,84.470001,82.840347,0.001185125569468,43937.390625,0.013789664799635,-0.16472875304825,4080900
2019-04-04,84.489998,85.379997,84.360001,85.279999,83.634712,0.009589107587876,44989.859375,0.023953829188053,-0.122336455328382,3660700
2019-04-05,86,86.160004,85.050003,85.400002,83.752403,0.001407202789196,45436.28125,0.009922722168989,-0.122015452071058,7367400
2019-04-08,85.010002,85.290001,84.57,84.730003,83.095329,-0.007845434596068,45151.628906,-0.006264868870623,-0.109569800093213,4705800
2019-04-09,84.220001,84.599998,83.970001,84.279999,82.653999,-0.005311128860204,44909.140625,-0.005370532290315,-0.101931084959794,3804500
2019-04-10,84.639999,85.010002,84.559998,84.879997,83.242439,0.007119316755624,44580.058594,-0.00732772942034,-0.10763079479221,3918400
2019-04-11,84.900002,85.050003,84.279999,85,83.360123,0.001413750022389,44686.058594,0.002377744743796,-0.10772268214802,3347400
2019-04-12,85.300003,86.489998,85.290001,86.239998,84.576195,0.014588174252094,44625.78125,-0.001348907151281,-0.110309232986918,6037000
2019-04-15,86.889999,87.239998,86.440002,86.830002,85.154808,0.006841322194738,45009.359375,0.008595437754941,-0.103225038682569,5034900
2019-04-16,87,87.949997,87,87.800003,86.106102,0.011171348069976,45525.289063,0.011462720091203,-0.086299455207376,4652700
2019-04-17,87.949997,88.970001,87.449997,88.730003,87.018173,0.010592408421879,45381.21875,-0.003164621597474,-0.090705538417815,5694900
2019-04-18,88.760002,90,88.699997,89.199997,87.47908,0.005296675212889,45148.320313,-0.00513204456414,-0.092866303033139,7016600
2019-04-22,88.349998,88.639999,87.300003,87.360001,85.674599,-0.020627571757728,45045.328125,-0.002281196449524,-0.080823307988638,5390500
2019-04-23,87.57,87.669998,87.010002,87.43,85.743233,0.000801100919072,45026.679688,-0.000413992699715,-0.080634837392138,7513700
2019-04-24,87.669998,88.82,87.43,88.389999,86.684715,0.010980248435465,44974.96875,-0.001148451059645,-0.082439399918192,8063000
2019-04-25,88.400002,88.540001,87.489998,87.559998,85.87072,-0.009390294471176,44956.730469,-0.000405520704225,-0.080437312518447,7069900
2019-04-26,87.949997,88.940002,87.330002,88.309998,86.606255,0.008565608859458,44597.320313,-0.007994579504571,-0.087580289471494,6219600
2019-04-29,88.18,88.510002,88.129997,88.260002,86.557228,-0.000566090751759,44312.429688,-0.006388065986937,-0.084513176667196,5008400
2019-04-30,88.290001,88.400002,87.260002,87.830002,86.135521,-0.00487200213944,44277.238281,-0.00079416559299,-0.083263753432981,7614100
2019-05-01,87.730003,87.949997,85.870003,85.900002,84.242752,-0.021974314174056,44116.699219,-0.003625769542833,-0.068071179734967,6524600
2019-05-02,86.209999,86.279999,84.989998,85.269997,83.624916,-0.007333995926439,43583.601563,-0.012083806482295,-0.051601783643723,6813700
2019-05-03,85.900002,86.300003,85.699997,85.699997,84.046608,0.005042659773793,43410.738281,-0.003966245922796,-0.053371309518739,6798300
2019-05-06,83.769997,83.870003,82.860001,83.57,81.95771,-0.024854042890107,43193.359375,-0.00500749157024,-0.034210617502311,12836600
2019-05-07,83.019997,83.629997,81.830002,82.540001,80.947571,-0.012325124750314,43382.351563,0.004375491759258,-0.041791012641381,9811300
2019-05-08,82.43,83.989998,82.139999,82.769997,81.173141,0.002786618513853,43142.460938,-0.005529682379058,-0.042832584365304,9501300
2019-05-09,82.209999,83.010002,81.540001,82.980003,81.379082,0.002537058409505,43431.53125,0.006700366778229,-0.041420537311604,6336600
2019-05-10,82.779999,84.269997,82.190002,83.949997,82.330368,0.011689564156057,43338.820313,-0.002134645828312,-0.044104883514243,5450500
2019-05-13,81.650002,82.629997,81.32,82.529999,80.937775,-0.016914694223157,43442.488281,0.002392034837388,-0.049100137347082,6445200
2019-05-14,82.779999,84,82.059998,83.669998,82.055771,0.013813031059972,43445.621094,7.21140322289958E-05,-0.048675839387235,7529200
2019-05-15,83.169998,84.489998,82.940002,84.010002,82.389221,0.004063699553807,43519.21875,0.001694017812307,-0.048042517534635,4862200
2019-05-16,84.510002,85.400002,84.199997,84.279999,82.653999,0.00321374564277,43190.101563,-0.007562571122672,-0.04960601665866,6745200
